DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
249,1024 36,29 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
250,1024 40,29 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
251,1024 44,29 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
252,1024 48,29 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
253,1024 16,30 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
254,1024 20,30 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
255,1024 24,30 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
256,1024 28,30 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
257,1024 32,30 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
258,1024 36,30 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
259,1024 40,30 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
260,1024 44,30 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
261,1024 48,30 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
262,1024 16,31 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
263,1024 20,31 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
264,1024 24,31 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
265,1024 28,31 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
266,1024 32,31 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
267,1024 36,31 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
268,1024 40,31 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
269,1024 44,31 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
270,1024 48,31 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
271,1024 16,32 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
272,1024 20,32 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
273,1024 24,32 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
274,1024 28,32 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
275,1024 32,32 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
276,1024 36,32 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
277,1024 40,32 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
278,1024 44,32 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
279,1024 48,32 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
280,1024 16,33 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
281,1024 20,33 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
282,1024 24,33 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
283,1024 28,33 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
284,1024 32,33 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
285,1024 36,33 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
286,1024 40,33 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
287,1024 44,33 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
288,1024 48,33 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
289,1536 16,2 48,53,0,674523580394968.9,0.0,38512000000000.0,pass
290,1536 20,2 44,53,0,674523580394968.9,0.0,48139700000000.0,pass
291,1536 24,2 40,53,0,674523580394968.9,0.0,57767400000000.0,pass
292,1536 28,2 36,53,0,674523580394968.9,0.0,67395100000000.0,pass
293,1536 32,2 32,53,0,674523580394968.9,0.0,77022800000000.0,pass
294,1536 36,2 28,53,0,674523580394968.9,0.0,86650500000000.0,pass
295,1536 40,2 24,53,0,674523580394968.9,0.0,96278200000000.0,pass
296,1536 44,2 20,53,0,674523580394968.9,0.0,105906000000000.0,pass
297,1536 48,2 16,53,0,674523580394968.9,0.0,115534000000000.0,pass
298,1536 16,3 48,53,0,674523580394968.9,0.0,38512000000000.0,pass
299,1536 20,3 44,53,0,674523580394968.9,0.0,48139700000000.0,pass
300,1536 24,3 40,53,0,674523580394968.9,0.0,57767400000000.0,pass
301,1536 28,3 36,53,0,674523580394968.9,0.0,67395100000000.0,pass
302,1536 32,3 32,53,0,674523580394968.9,0.0,77022800000000.0,pass
303,1536 36,3 28,53,0,674523580394968.9,0.0,86650500000000.0,pass
304,1536 40,3 24,53,0,674523580394968.9,0.0,96278200000000.0,pass
305,1536 44,3 20,53,0,674523580394968.9,0.0,105906000000000.0,pass
306,1536 48,3 16,53,0,674523580394968.9,0.0,115534000000000.0,pass
307,1536 16,4 48,52,1,616536734976195.6,5776412851087.242,38512000000000.0,pass
308,1536 20,4 44,52,1,616536734976195.6,5776412851087.242,48139700000000.0,pass
309,1536 24,4 40,52,1,616536734976195.6,5776412851087.242,57767400000000.0,pass
310,1536 28,4 36,52,1,616536734976195.6,5776412851087.242,67395100000000.0,pass
311,1536 32,4 32,52,1,616536734976195.6,5776412851087.242,77022800000000.0,pass
312,1536 36,4 28,52,1,616536734976195.6,5776412851087.242,86650500000000.0,pass
313,1536 40,4 24,52,1,616536734976195.6,5776412851087.242,96278200000000.0,pass
314,1536 44,4 20,52,1,616536734976195.6,5776412851087.242,105906000000000.0,pass
315,1536 48,4 16,52,1,616536734976195.6,5776412851087.242,115534000000000.0,pass
316,1536 16,5 48,51,2,568562042245826.8,23105651404348.973,38512000000000.0,pass
317,1536 20,5 44,51,2,568562042245826.8,23105651404348.973,48139700000000.0,pass
318,1536 24,5 40,51,2,568562042245826.8,23105651404348.973,57767400000000.0,pass
319,1536 28,5 36,51,2,568562042245826.8,23105651404348.973,67395100000000.0,pass
320,1536 32,5 32,51,2,568562042245826.8,23105651404348.973,77022800000000.0,pass
321,1536 36,5 28,51,2,568562042245826.8,23105651404348.973,86650500000000.0,pass
322,1536 40,5 24,51,2,568562042245826.8,23105651404348.973,96278200000000.0,pass
323,1536 44,5 20,51,2,568562042245826.8,23105651404348.973,105906000000000.0,pass
324,1536 48,5 16,51,2,568562042245826.8,23105651404348.973,115534000000000.0,pass
325,1536 16,6 48,50,3,511845498616194.9,51987715659785.19,38512000000000.0,pass
326,1536 20,6 44,50,3,511845498616194.9,51987715659785.19,48139700000000.0,pass
327,1536 24,6 40,50,3,511845498616194.9,51987715659785.19,57767400000000.0,pass
328,1536 28,6 36,50,3,511845498616194.9,51987715659785.19,67395100000000.0,pass
329,1536 32,6 32,50,3,511845498616194.9,51987715659785.19,77022800000000.0,pass
330,1536 36,6 28,50,3,511845498616194.9,51987715659785.19,86650500000000.0,pass
331,1536 40,6 24,50,3,511845498616194.9,51987715659785.19,96278200000000.0,pass
